nome,período,valor
RS,2020,1578
SC,2020,1362
PR,2020,2525
SP,2020,5326
RJ,2020,1830
ES,2020,762
MG,2020,2958
BA,2020,2413
SE,2020,417
AL,2020,675
PE,2020,1522
PB,2020,794
RN,2020,474
CE,2020,1748
PI,2020,909
MA,2020,1448
TO,2020,474
AP,2020,79
PA,2020,1631
RR,2020,133
AM,2020,458
AC,2020,112
RO,2021,474
GO,2021,1686
MT,2021,1213
MS,2021,646
RS,2021,1717
SC,2021,1441
PR,2021,2668
SP,2021,5416
RJ,2021,1936
ES,2021,799
MG,2021,3211
BA,2021,2414
SE,2021,423
AL,2021,629
PE,2021,1517
PB,2021,841
RN,2021,461
CE,2021,1902
PI,2021,902
MA,2021,1467
TO,2021,534
AP,2021,98
PA,2021,1607
RR,2021,147
AM,2021,465
AC,2021,93
DF,2021,325
AC,2022,102
AM,2022,475
RR,2022,166
PA,2022,1702
AP,2022,103
TO,2022,559
MA,2022,1408
PI,2022,872
CE,2022,1869
RN,2022,425
PB,2022,863
PE,2022,1472
AL,2022,580
SE,2022,424
BA,2022,2499
MG,2022,3150
ES,2022,828
RJ,2022,1974
SP,2022,5049
PR,2022,2736
SC,2022,1443
RS,2022,1806
MS,2022,658
MT,2022,1177
GO,2022,1716
DF,2022,337
RO,2022,499
AM,2023,495
AC,2023,107
TO,2023,586
SP,2023,4948
SE,2023,448
SC,2023,1422
RS,2023,1720
RR,2023,163
RO,2023,466
RN,2023,411
RJ,2023,1647
PR,2023,2682
PI,2023,1047
PE,2023,1974
PB,2023,841
PA,2023,1707
MT,2023,1304
MS,2023,721
MG,2023,3439
MA,2023,1453
GO,2023,1722
ES,2023,847
DF,2023,316
CE,2023,1844
BA,2023,2905
AP,2023,92
AL,2023,631
